Code,Title,Points1,Points2,EOS Points,Mid-point,Year
AC120,International Business,,,234,269,2019
AC137,Liberal Arts,271,270,270,334,2021
AD101,First Year Art & Design (Common Entry),,, , 550,2019
AD102,Graphic Design and Moving Image Design,,, , 635,2019
AD103,Textile & Surface Design and Jewellery & Objects,,, , 545,2019
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",,,,,2020
AD204,Fine Art,,, , 600,2019
AD211,Fashion Design (portfolio),760,679,679,679,2021
AD212,Product Design (portfolio),,,,,2020
AD215,Visual Culture,,,300,338,2019
AD217,Illustration,,, , 625,2019
AD222,Interaction Design (portfolio),,,,,2020
AL801,Software Design with Virtual Reality and Gaming,303,,303,367,2020
AL802,Software Design with Artificial Intelligence for Cloud Computing,332,,332,382,2020
AL803,Software Design with Mobile Apps and Connected Devices,,,309,337,2019
AL805,Computer Engineering for Network Infrastructure,321,,321,381,2021
AL810,Quantity Surveying,319,,326,352,2020
AL811,Civil Engineering,,,,0,2021
AL820,Mechanical and Polymer Engineering,327,,327,398,2021
AL830,General Nursing,,,410,429,2019
AL832,Mental Health Nursing,440,431,431,451,2021
AL835,Pharmacology,356,,356,429,2021
AL836,Nutrition and Health Science,,,352,383,2019
AL837,Sports Science with Exercise Physiology,357,,357,409,2021
AL838,Biotechnology,,,302,372,2019
AL839,Microbiology,,,322,371,2019
AL840,Pharmaceutical Sciences,347,,347,403,2020
AL841,Athletic and Rehabilitation Therapy,477,476,462,489,2021
AL842,Bioveterinary Science,313,,313,383,2020
AL843,Physical Activity and Health Science,,,310,330,2019
AL849,Culinary Entrepreneurship,297,,297,327,2021
AL850,Business,309,,309,369,2021
AL851,Business and Law,295,,295,351,2020
AL852,Accounting,309,,309,422,2020
AL853,Accounting and Law,,,305,320,2019
AL854,Sport Management (with international placement),300,299,299,349,2021
AL855,Hospitality Management (with international placement),308,,308,347,2020
AL857,Digital Marketing,304,,304,332,2020
AL859,International Business,308,,308,371,2021
AL860,Social Care Practice,301,,301,359,2021
AL861,Animation and Illustration (portfolio),578,,578,878,2020
AL863,Graphic and Digital Design (portfolio),747,,747,808,2021
AL864,Early Years Care and Education,306,,306,366,2021
AL870,Applied Psychology,484,467,452,480,2021
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",,,456,497,2019
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",441,434,434,466,2020
AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",,,421,457,2019
AS051,"Nutrition, Food and Business Management",328,317,317,398,2020
AS054,Home Economics,,,387,401,2019
AS110,General Nursing,440,432,422,445,2021
AS130,Intellectual Disability Nursing,387,358,348,387,2021
BN101,Business,,,252,289,2019
BN103,Business and Information Technology,,,254,290,2019
BN104,Computing (Information Technology),,,260,293,2019
BN107,Applied Social Studies in Social Care,,,300,328,2019
BN108,Engineering (Common Entry with Award options),,,271,318,2019
BN109,Business (Common Entry with Award options),,,260,279,2019
BN110,International Business,,,253,308,2019
BN111,Sports Management and Coaching,,,270,298,2019
BN112,Creative Digital Media,,,280,329,2019
BN113,Horticulture,,,289,321,2019
BN114,Accounting and Finance,,,280,332,2019
BN115,Community and Youth Development,,,250,298,2019
BN117,Computer Engineering in Mobile Systems,,,273,311,2019
BN118,Early Childhood Care and Education,,,290,320,2019
BN119,Digital Marketing,,,270,308,2019
BN120,Digital Forensics and Cyber Security,,,281,326,2019
BN121,Mechatronic Engineering,,,276,340,2019
BN123,"Design,Technology and Innovation",,,297,318,2019
BY001,Business,210,210,210,323,2021
CI101,Counselling and Psychotherapy (Limerick),,,276,328,2019
CI110,Counselling and Psychotherapy,310,,310,392,2020
CI111,Counselling and Addiction Studies,301,,301,319,2020
CI112,Counselling and Youth Studies,311,,311,311,2020
CK101,Arts - 3 years,,,300,368,2019
CK102,Social Science,434,431,420,462,2021
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),,,340,409,2019
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,337,319,418,2020
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312,,312,425,2021
CK108,Arts International - 4 years,440,440,440,487,2021
CK109,English - 3 years or 4 years (International Pathway),367,357,352,462,2021
CK110,World Languages,488,,488,522,2021
CK111,Early Years and Childhood Studies,419,,419,451,2020
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,,330,434,2020
CK113,Criminology - 3 years or 4 years (International Pathway),,,408,430,2019
CK114,Social Science (Youth and Community Work) - 3 years,,,777,,2020
CK115,Social Work - Mature Applicants only,,,999,,2020
CK116,Sports Studies and Physical Education,,,499,520,2019
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),,,307,361,2019
CK120,Applied Psychology,533,532,531,555,2020
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,,466,496,2020
CK122,Government and Political Science,399,,397,465,2021
CK123,Anthropology,308,,308,410,2020
CK124,Education - Gaeilge,473,,473,522,2021
CK125,Sports Studies and Physical Education,564,555,555,589,2021
CK201,Commerce,,,465,489,2019
CK202,Accounting,,,467,506,2019
CK203,Business Information Systems,455,452,445,490,2021
CK204,Finance,,,531,555,2019
CK205,Commerce (International) with French,465,,462,522,2021
CK206,Commerce (International) with German,,,408,446,2019
CK207,Commerce (International) with Italian,,,408,425,2019
CK208,Commerce (International) with Hispanic Studies,,,431,455,2019
CK209,Commerce (International) with Irish,507,,507,534,2021
CK211,Commerce (International) with Chinese Studies,,,398,420,2019
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,445,444,431,474,2021
CK213,Food Marketing and Entrepreneurship,462,,462,476,2020
CK214,International Development,332,,332,451,2021
CK301,Law (Pathways) -  3 or 4 years,507,499,498,531,2020
CK302,Law and French,,,453,531,2019
CK304,Law and Irish,588,,588,601,2021
CK307,Law and Business,,,522,554,2019
CK401,Computer Science,503,495,488,531,2021
CK402,Biological and Chemical Sciences,,,498,520,2019
CK404,"Biological, Earth and Environmental Sciences",,,412,451,2019
CK405,Genetics,487,,487,498,2020
CK406,Chemical Sciences,485,472,462,494,2020
CK407,Mathematical Sciences,,,531,578,2019
CK408,Physics and Astrophysics,,,511,566,2019
CK409,Industrial Physics (offered jointly by UCC and CIT),,,413,532,2019
CK411,Data Science and Analytics,510,,509,554,2020
CK412,Agricultural Science,496,496,489,510,2020
CK502,Food Marketing and Entrepreneurship,,,433,456,2019
CK504,Nutritional Sciences,518,,517,554,2020
